Product_id,Product_Name,Category,Price,Image_link,Product_link
60,Dune US-EX-3209,urbansole-footwear,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3209Grey_700x700.jpg?v=1704718748,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3209
61,Fury US-EX-3208,urbansole-footwear,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3208Black_700x700.jpg?v=1704718863,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3208
62,Blaze US-EX-3207,urbansole-footwear,"Rs.14,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3207Black_702x700.jpg?v=1704718985,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3207
63,Raptor US-EX-3206,urbansole-footwear,"Rs.16,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3206Black_700x700.jpg?v=1704719244,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3206
64,Rush US-EX-3204,urbansole-footwear,"Rs.13,499",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3204Black_700x700.jpg?v=1704719664,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3204
65,Clod US-ST-3202,urbansole-footwear,"Rs.29,999",https://www.urbansole.com.pk/cdn/shop/files/US-ST-3202Navy_700x700.jpg?v=1705228281,https://www.urbansole.com.pk/collections/urbansole-footwear/products/clod-us-st-3202
66,Sphere US-ST-3202,urbansole-footwear,"Rs.29,999",https://www.urbansole.com.pk/cdn/shop/files/US-ST-3202Grey_700x700.jpg?v=1705228246,https://www.urbansole.com.pk/collections/urbansole-footwear/products/sphere-us-st-3202
67,Terrain US-ST-3201,urbansole-footwear,"Rs.29,999",https://www.urbansole.com.pk/cdn/shop/files/US-ST-3201Green_700x700.jpg?v=1705228230,https://www.urbansole.com.pk/collections/urbansole-footwear/products/terrain-us-st-3201
68,Turf US-ST-3201,urbansole-footwear,"Rs.29,999",https://www.urbansole.com.pk/cdn/shop/files/US-ST-3201Black_700x700.jpg?v=1705228213,https://www.urbansole.com.pk/collections/urbansole-footwear/products/turf-us-st-3201
69,Orb US-ST-3201,urbansole-footwear,"Rs.29,999",https://www.urbansole.com.pk/cdn/shop/files/US-ST-3201Beige_700x700.jpg?v=1705228165,https://www.urbansole.com.pk/collections/urbansole-footwear/products/orb-us-st-3201
70,MEN'S SPORTS SHOES US-GL-3101,urbansole-footwear,"Rs.9,499",https://www.urbansole.com.pk/cdn/shop/files/US-GL-3101Grey_700x700.jpg?v=1704705940,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-gl-3101
71,SHOE MOC US-HK-3103,urbansole-footwear,"Rs.6,999",https://www.urbansole.com.pk/cdn/shop/files/US-HK-3103Black_700x700.jpg?v=1705203291,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-hk-3103
72,SHOE MOC US-HK-3101,urbansole-footwear,"Rs.6,999",https://www.urbansole.com.pk/cdn/shop/files/US-HK-3101D-Brown_700x700.jpg?v=1705203358,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-hk-3101
73,Bromo US-TM-3302,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/US-TM-3302Black_700x700.jpg?v=1705203418,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-tm-3302
74,Olympus US-TM-3301,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/US-TM-3301Black_700x700.jpg?v=1705203584,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-tm-3301
75,SHOE US-HB-3101,urbansole-footwear,"Current price

Rs.5,249",https://www.urbansole.com.pk/cdn/shop/files/US-HB-3101Grey_700x700.jpg?v=1705203641,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-hb-3101
76,Volcano EX-PG-3203,urbansole-footwear,"Current price

Rs.13,199",https://www.urbansole.com.pk/cdn/shop/files/EX-PG-3203Black_700x700.jpg?v=1704719808,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-pg-3203
